评分,尺码,特点,颜色,长度,续航,厚度,品种,有机认证,内容,能效等级,阻力类型,适用年龄,价格,重量,套装,件数,适用肤质,数量,配置,等级,保鲜期,是否预售,功效,产地,材质,色号,子类别,商品ID,成本价,发货地,类别,品牌,包含,商品名称,屏幕尺寸,适用发质,库存,快递时效,奶源,支持退换,容量,功能,保质期,段位,功率,防水,尺寸,销量
4.6,,,黑色/白色/蓝色/绿色,,,,,,,,,,2599.0,,,,,,8GB+256GB,,,否,,广东,,,手机,PD005,1800.0,深圳,数码电子,智达科技,,5G智能手机256GB,,,200,1-2天,,是,,,,,,,,580
4.7,,,黑色/红色/灰色,,,,,,,,,,4599.0,,,,,,16GB+512GB,,,否,,广东,,,手机,PD031,3200.0,深圳,数码电子,游戏极客,,旗舰游戏手机512GB,,,80,1-2天,,是,,,,,,,,320
4.8,,,金色/紫色/黑色,,,,,,,,,,6999.0,,,,,,12GB+256GB,,,是,,广东,,,手机,PD032,5200.0,深圳,数码电子,未来科技,,折叠屏手机256GB,,,50,2-3天,,是,,,,,,,,180
4.8,S/M/L/XL/XXL,,黑色/灰色/蓝色,,,,,,,,,,299.0,,,,,,,,,否,,广东,涤纶,,外套,PD001,150.0,广州,男装,潮流前线,,时尚休闲男士夹克,,,500,2-3天,,是,,,,,,,,1250
4.9,S/M/L/XL,,红色/白色/粉色/黑色,,,,,,,,,,199.0,,,,,,,,,否,,浙江,雪纺,,连衣裙,PD002,80.0,杭州,女装,浪漫满屋,,女士修身连衣裙,,,800,1-2天,,是,,,,,,,,3200
4.7,100/110/120/130/140,,蓝色/粉色/黄色/绿色,,,,,,,,,,149.0,,,,,,,,,否,,山东,纯棉,,套装,PD003,60.0,青岛,童装,童趣天地,,儿童卡通卫衣套装,,,1200,3-4天,,是,,,,,,,,890
4.8,39-45,,黑色/白色/灰色/橙色,,,,,,,,,,359.0,,,,,,,,,否,,福建,网布+橡胶,,运动鞋,PD004,180.0,泉州,鞋靴,飞跃运动,,轻便透气运动跑鞋,,,350,2-3天,,是,,,,,,,,2100
4.9,,,黑色/白色/银色,,30小时,,,,,,,,499.0,,,,,,,,,否,,广东,,,耳机,PD006,250.0,深圳,数码电子,声韵电子,,无线蓝牙降噪耳机,,,600,1-2天,,是,,主动降噪,,,,,,4500
4.7,,,黑色/粉色/绿色,,,,,,,,,,299.0,,,,,,,,,否,,广东,,,智能穿戴,PD007,120.0,深圳,数码电子,健康生活,,智能手环运动版,,,1500,1-2天,,是,,心率监测/计步/睡眠,,,,50米,,8900
4.5,,,灰色/银色,,,,,,,,,,3299.0,,,,,,8GB+128GB,,,否,,广东,,,平板,PD008,2200.0,深圳,数码电子,智达科技,,便携式平板电脑128GB,10.5英寸,,150,1-2天,,是,,,,,,,,320
4.6,,,,,,,,,,一级能效,,,2699.0,,,,,,,,,否,,安徽,,,空调,PD009,1800.0,合肥,家用电器,清凉一夏,,智能变频空调1.5匹,,,80,3-5天,,是,,冷暖/智能/静音,,,1.5匹,,,450
4.7,,,,,,,,,,,,,3599.0,,,,,,,,,否,,江苏,,,洗衣机,PD010,2400.0,南京,家用电器,洁净专家,,全自动滚筒洗衣机,,,60,3-5天,,是,8kg,变频/洗烘一体/智能投放,,,,,,280
4.8,,,,,,,,,,,,,399.0,,,,,,,,,否,,浙江,,,厨房电器,PD011,200.0,宁波,家用电器,健康厨房,,多功能空气炸锅,,,450,2-3天,,是,5.5L,无油煎炸/烘焙/保温,,,1500W,,,5600
4.6,,,,,120分钟,,,,,,,,1899.0,,,,,,,,,否,,广东,,,清洁电器,PD012,1000.0,深圳,家用电器,洁净专家,,智能扫地机器人,,,200,2-3天,,是,,扫拖一体/自动集尘/激光导航,,,,,,1200
4.5,,,,,,,,,,,,,4599.0,,,,,,,,,否,,广东,实木框架+布艺,,家具,PD013,2800.0,佛山,家居日用,舒适家居,,北欧风格布艺沙发,,,25,7-10天,,是,,,,,,,220*90*85cm,85
4.9,,,,,,,,,,,,,399.0,,1.5米床/1.8米床/2.0米床,,,,,,,否,,江苏,100%纯棉,,家纺,PD014,150.0,南通,家居日用,温馨睡眠,,纯棉四件套床品,,,600,2-3天,,是,,,,,,,,3800
4.7,,,,,,,,,,,,,259.0,,,6件套,,,,,,否,,浙江,不锈钢,,厨具,PD015,100.0,温州,家居日用,烹饪大师,菜刀/水果刀/厨师刀/剪刀/磨刀棒/刀架,不锈钢厨房刀具套装,,,800,2-3天,,是,,,,,,,,4200
4.8,,,,,,,,,,,,,459.0,,,,所有肤质,,,,,否,保湿/补水/修复,上海,,,护肤品,PD016,180.0,上海,美妆个护,美丽肌肤,,保湿补水面霜套装,,,900,1-2天,,是,50g+50g,,,,,,,6800
4.9,,,,,,,,,,,,,329.0,,,,,,,,,否,持妆/遮瑕/轻薄,浙江,,自然色/象牙白/亮白色,彩妆,PD017,130.0,杭州,美妆个护,彩妆达人,,持妆粉底液,,,700,1-2天,,是,30ml,,,,,,,9200
4.7,,,,,,,,,,,,,89.0,,,,,,,,,否,去屑/控油/止痒,广东,,,洗护用品,PD018,35.0,广州,美妆个护,健康秀发,,清爽去屑洗发水,,油性/中性,2500,1-2天,,是,500ml,,,,,,,15600
4.8,,,,,,,,,腰果/核桃/杏仁/夏威夷果,,,,168.0,1500g,,,,,,,,否,,越南,,,零食,PD019,70.0,上海,食品生鲜,美味坚果,,进口坚果礼盒,,,500,2-3天,,是,,,12个月,,,,,8600
4.9,,,,,,,东北大米,是,,,,,69.9,5kg,,,,,,,,否,,黑龙江,,,粮油,PD020,35.0,哈尔滨,食品生鲜,绿色田园,,有机大米5kg,,,2000,3-5天,,是,,,,,,,,12000
4.6,,,,,,,,,,,,,128.0,1kg,,,,,,JJ级,7天,否,,智利,,,生鲜,PD021,80.0,上海,食品生鲜,鲜果时光,,新鲜进口车厘子1kg,,,300,1-2天,,是,,,,,,,,3200
4.8,,,,,,,,,,,,1-3岁,368.0,800g*2罐,,,,,,,,否,,广东,,,奶粉,PD022,220.0,广州,母婴用品,宝贝营养,,婴儿配方奶粉3段,,,400,1-2天,荷兰,是,,,,3段(12-36月),,,,2800
4.9,NB/S/M/L/XL,超薄/透气/干爽,,,,,,,,,,,168.0,,,,,68片,,,,否,,广东,,,纸尿裤,PD023,85.0,广州,母婴用品,宝宝舒适,,超薄透气纸尿裤NB码,,,800,1-2天,,是,,,,,,,,9500
4.7,,,,,,,,,,,,0-3岁,199.0,,,,,,,,,否,,浙江,ABS塑料,,玩具,PD024,80.0,温州,母婴用品,聪明宝贝,,婴儿益智早教玩具,,,600,2-3天,,是,,音乐/灯光/早教,,,,,,4500
4.8,,,,,,15mm,,,,,,,159.0,,,,,,,,,否,,山东,TPE环保材质,,健身器材,PD025,55.0,济南,运动户外,运动达人,,专业健身瑜伽垫,,,1200,2-3天,,是,,,,,,,183*68cm,15600
4.6,,,,65-135cm可调,,,,,,,,,89.0,250g,,,,,,,,否,,浙江,铝合金,,户外装备,PD026,35.0,杭州,运动户外,探险家,,户外折叠登山杖,,,900,2-3天,,是,,,,,,,,3200
4.5,,,,,,,,,,,磁控阻力,,2999.0,,,,,,,,,否,,江苏,,,健身器材,PD027,1800.0,苏州,运动户外,健身先锋,,无线智能动感单车,,,50,5-7天,,是,,APP互联/实景骑行/心率监测,,,,,,280
4.7,39-45,,,,,,,,,,,,499.0,,,,,,,,,否,,福建,合成革+网布,,运动鞋,PD028,250.0,泉州,运动户外,飞跃运动,,专业篮球运动鞋,,,400,2-3天,,是,,减震/防滑/透气,,,,,,1800
4.6,,,,,,,,,,,,,459.0,2.5kg,,,,,,,,否,,浙江,涤纶布+玻璃纤维杆,,户外装备,PD029,220.0,杭州,运动户外,探险家,,户外露营帐篷双人,,,200,2-3天,,是,,,,,,,200*200*130cm,680
4.9,,,黑色/紫色/灰色,,,,,,,,,,229.0,,上衣+裤子,,,,,,,否,,广东,锦纶+氨纶,,运动服饰,PD030,90.0,广州,运动户外,运动达人,,女士瑜伽健身服套装,,,700,2-3天,,是,,,,,,,,5600
